Time;acc_x;acc_y;acc_z;
39371;-0.034180;0.039062;1.036133;
39500;-0.034180;0.039062;1.038086;
39644;-0.034180;0.038086;1.040039;
39783;-0.033203;0.039062;1.039062;
39924;-0.033203;0.039062;1.040039;
40064;-0.034180;0.039062;1.038086;
40199;-0.034180;0.038086;1.038086;
40339;-0.034180;0.038086;1.038086;
40479;-0.035156;0.037109;1.039062;
40619;-0.033203;0.039062;1.039062;
40749;-0.034180;0.037109;1.037109;
40899;-0.033203;0.039062;1.039062;
41049;-0.034180;0.037109;1.037109;
41189;-0.034180;0.038086;1.037109;
41319;-0.035156;0.037109;1.040039;
41459;-0.035156;0.038086;1.038086;
41599;-0.034180;0.040039;1.037109;
41739;-0.034180;0.038086;1.039062;
41879;-0.035156;0.038086;1.038086;
42020;-0.034180;0.037109;1.040039;
42159;-0.035156;0.039062;1.041016;
42294;-0.034180;0.039062;1.038086;
42429;-0.033203;0.040039;1.038086;
42564;-0.035156;0.038086;1.039062;
42699;-0.033203;0.038086;1.038086;
42829;-0.034180;0.038086;1.038086;
42969;-0.033203;0.038086;1.040039;
43119;-0.035156;0.037109;1.037109;
43259;-0.034180;0.039062;1.039062;
43399;-0.034180;0.038086;1.039062;
43539;-0.034180;0.038086;1.038086;
43681;-0.034180;0.036133;1.039062;
43834;-0.035156;0.039062;1.039062;
43983;-0.035156;0.037109;1.037109;
44123;-0.035156;0.038086;1.040039;
44273;-0.035156;0.037109;1.039062;
44419;-0.034180;0.038086;1.038086;
44564;-0.035156;0.037109;1.040039;
44704;-0.034180;0.039062;1.039062;
44844;-0.034180;0.037109;1.037109;
44984;-0.033203;0.039062;1.040039;
45109;-0.034180;0.036133;1.038086;
45249;-0.034180;0.038086;1.037109;
45379;-0.035156;0.036133;1.038086;
45513;-0.033203;0.038086;1.037109;
45649;-0.034180;0.038086;1.039062;
45789;-0.034180;0.038086;1.039062;
45929;-0.034180;0.039062;1.038086;
46084;-0.035156;0.038086;1.038086;
46229;-0.035156;0.038086;1.038086;
46369;-0.033203;0.039062;1.038086;
46509;-0.035156;0.038086;1.038086;
46659;-0.034180;0.039062;1.039062;
46799;-0.033203;0.039062;1.038086;
46949;-0.034180;0.037109;1.038086;
47089;-0.035156;0.037109;1.040039;
47229;-0.034180;0.039062;1.040039;
47359;-0.035156;0.038086;1.038086;
47499;-0.035156;0.040039;1.040039;
47649;-0.033203;0.040039;1.037109;
47789;-0.034180;0.039062;1.038086;
47939;-0.034180;0.037109;1.039062;
48079;-0.034180;0.039062;1.039062;
48213;-0.034180;0.039062;1.039062;
48350;-0.033203;0.039062;1.039062;
48493;-0.033203;0.039062;1.039062;
48639;-0.035156;0.038086;1.037109;
48779;-0.034180;0.038086;1.039062;
48929;-0.034180;0.038086;1.038086;
49069;-0.035156;0.037109;1.039062;
49209;-0.035156;0.039062;1.040039;
49351;-0.035156;0.038086;1.036133;
49499;-0.035156;0.037109;1.037109;
49640;-0.035156;0.039062;1.039062;
49789;-0.033203;0.038086;1.036133;
49934;-0.034180;0.038086;1.037109;
50073;-0.034180;0.040039;1.038086;
50213;-0.034180;0.039062;1.039062;
50349;-0.034180;0.038086;1.039062;
50503;-0.034180;0.039062;1.039062;
50643;-0.034180;0.039062;1.039062;
50793;-0.035156;0.037109;1.038086;
50929;-0.033203;0.040039;1.037109;
51059;-0.034180;0.039062;1.039062;
51199;-0.033203;0.039062;1.039062;
51329;-0.034180;0.038086;1.038086;
51459;-0.034180;0.040039;1.039062;
51599;-0.033203;0.037109;1.038086;
51744;-0.034180;0.039062;1.040039;
51879;-0.034180;0.039062;1.039062;
52030;-0.034180;0.038086;1.038086;
52229;-0.034180;0.038086;1.038086;
52449;-0.035156;0.038086;1.039062;
52659;-0.033203;0.038086;1.038086;
52879;-0.033203;0.041016;1.040039;
53099;-0.034180;0.037109;1.038086;
53310;-0.034180;0.037109;1.038086;
53519;-0.033203;0.040039;1.038086;
53730;-0.034180;0.041016;1.040039;
53929;-0.034180;0.038086;1.039062;
54139;-0.035156;0.038086;1.038086;
54363;-0.034180;0.038086;1.038086;
54583;-0.034180;0.040039;1.038086;
54804;-0.036133;0.038086;1.039062;
55014;-0.034180;0.038086;1.039062;
55219;-0.033203;0.039062;1.039062;
55419;-0.034180;0.038086;1.038086;
55634;-0.036133;0.038086;1.038086;
55853;-0.032227;0.039062;1.038086;
56069;-0.034180;0.038086;1.038086;
56269;-0.034180;0.038086;1.038086;
56483;-0.034180;0.038086;1.039062;
56693;-0.033203;0.039062;1.039062;
56909;-0.033203;0.038086;1.040039;
57129;-0.033203;0.039062;1.038086;
57359;-0.034180;0.039062;1.038086;
57581;-0.035156;0.039062;1.038086;
57799;-0.033203;0.039062;1.039062;
58009;-0.035156;0.037109;1.039062;
58229;-0.034180;0.040039;1.039062;
58449;-0.035156;0.038086;1.037109;
58660;-0.033203;0.039062;1.040039;
58879;-0.034180;0.040039;1.039062;
59099;-0.033203;0.040039;1.041016;
59314;-0.035156;0.037109;1.040039;
59533;-0.034180;0.039062;1.038086;
59749;-0.035156;0.039062;1.038086;
59974;-0.035156;0.040039;1.038086;
60193;-0.035156;0.037109;1.039062;
60413;-0.033203;0.038086;1.038086;
60632;-0.033203;0.039062;1.038086;
60839;-0.035156;0.037109;1.038086;
61064;-0.035156;0.039062;1.039062;
61279;-0.033203;0.038086;1.038086;
61490;-0.035156;0.039062;1.039062;
61713;-0.033203;0.039062;1.040039;
61933;-0.034180;0.039062;1.039062;
62149;-0.035156;0.038086;1.040039;
62370;-0.034180;0.038086;1.041016;
62589;-0.033203;0.038086;1.037109;
62799;-0.035156;0.037109;1.039062;
63009;-0.034180;0.039062;1.038086;
63239;-0.033203;0.038086;1.036133;
63449;-0.034180;0.038086;1.039062;
63663;-0.035156;0.038086;1.039062;
63879;-0.035156;0.038086;1.039062;
64089;-0.034180;0.038086;1.037109;
64299;-0.033203;0.039062;1.039062;
64524;-0.033203;0.039062;1.038086;
64743;-0.035156;0.038086;1.041016;
64959;-0.033203;0.039062;1.038086;
65183;-0.035156;0.038086;1.039062;
65393;-0.035156;0.038086;1.039062;
65610;-0.033203;0.038086;1.040039;
65829;-0.033203;0.038086;1.038086;
66039;-0.035156;0.038086;1.040039;
66250;-0.035156;0.037109;1.037109;
66469;-0.034180;0.039062;1.039062;
66693;-0.033203;0.038086;1.039062;
66913;-0.033203;0.039062;1.039062;
67129;-0.035156;0.038086;1.038086;
67343;-0.034180;0.040039;1.040039;
67559;-0.035156;0.037109;1.038086;
67779;-0.033203;0.040039;1.039062;
67999;-0.035156;0.038086;1.039062;
68219;-0.034180;0.039062;1.040039;
68439;-0.034180;0.038086;1.038086;
68660;-0.034180;0.039062;1.041016;
68879;-0.033203;0.038086;1.039062;
69099;-0.034180;0.039062;1.040039;
69319;-0.033203;0.039062;1.038086;
69529;-0.034180;0.038086;1.038086;
69753;-0.033203;0.039062;1.038086;
69969;-0.034180;0.037109;1.039062;
70179;-0.034180;0.038086;1.038086;
70393;-0.034180;0.038086;1.038086;
70604;-0.033203;0.037109;1.038086;
70824;-0.034180;0.039062;1.040039;
71040;-0.036133;0.038086;1.040039;
71263;-0.033203;0.040039;1.037109;
71470;-0.035156;0.038086;1.039062;
71679;-0.035156;0.038086;1.038086;
71894;-0.035156;0.039062;1.039062;
72113;-0.035156;0.037109;1.037109;
72333;-0.034180;0.038086;1.038086;
72539;-0.034180;0.039062;1.040039;
72769;-0.033203;0.038086;1.038086;
72979;-0.034180;0.037109;1.041992;
73189;-0.035156;0.040039;1.039062;
73419;-0.035156;0.040039;1.037109;
73629;-0.034180;0.038086;1.037109;
73850;-0.034180;0.038086;1.038086;
74079;-0.035156;0.040039;1.038086;
74299;-0.034180;0.038086;1.037109;
74524;-0.033203;0.039062;1.041992;
74751;-0.034180;0.039062;1.038086;
74979;-0.034180;0.038086;1.041016;
75189;-0.033203;0.037109;1.039062;
75413;-0.035156;0.038086;1.038086;
75633;-0.035156;0.039062;1.039062;
75839;-0.035156;0.038086;1.038086;
76059;-0.035156;0.037109;1.039062;
76279;-0.034180;0.040039;1.039062;
76489;-0.033203;0.040039;1.038086;
76709;-0.034180;0.037109;1.038086;
76924;-0.033203;0.038086;1.038086;
77143;-0.034180;0.038086;1.038086;
77359;-0.034180;0.039062;1.040039;
77579;-0.034180;0.039062;1.037109;
77803;-0.034180;0.039062;1.040039;
78012;-0.033203;0.040039;1.039062;
78230;-0.035156;0.039062;1.037109;
78449;-0.033203;0.039062;1.039062;
78669;-0.034180;0.037109;1.039062;
78879;-0.033203;0.040039;1.037109;
79094;-0.034180;0.040039;1.039062;
79300;-0.034180;0.037109;1.035156;
79509;-0.034180;0.039062;1.041016;
79729;-0.034180;0.038086;1.038086;
79950;-0.034180;0.038086;1.039062;
80164;-0.034180;0.038086;1.037109;
80379;-0.033203;0.039062;1.040039;
80593;-0.035156;0.038086;1.037109;
80813;-0.033203;0.040039;1.039062;
81030;-0.035156;0.040039;1.039062;
81253;-0.033203;0.038086;1.038086;
81474;-0.033203;0.039062;1.038086;
81694;-0.034180;0.038086;1.041016;
81914;-0.034180;0.039062;1.038086;
82134;-0.035156;0.037109;1.039062;
82354;-0.035156;0.038086;1.038086;
82559;-0.033203;0.040039;1.038086;
82773;-0.034180;0.038086;1.037109;
82993;-0.034180;0.038086;1.040039;
83199;-0.036133;0.038086;1.038086;
83409;-0.034180;0.038086;1.038086;
83619;-0.033203;0.039062;1.039062;
83829;-0.034180;0.038086;1.038086;
84039;-0.034180;0.038086;1.039062;
84249;-0.034180;0.038086;1.039062;
84473;-0.033203;0.038086;1.039062;
84679;-0.034180;0.038086;1.039062;
84899;-0.033203;0.039062;1.039062;
85119;-0.035156;0.038086;1.039062;
85344;-0.033203;0.039062;1.039062;
85559;-0.034180;0.039062;1.038086;
85774;-0.034180;0.039062;1.038086;
85983;-0.034180;0.040039;1.038086;
86203;-0.033203;0.038086;1.039062;
86411;-0.035156;0.038086;1.038086;
86624;-0.036133;0.039062;1.038086;
86843;-0.035156;0.038086;1.038086;
87063;-0.035156;0.037109;1.039062;
87269;-0.035156;0.039062;1.040039;
87489;-0.034180;0.037109;1.039062;
87704;-0.035156;0.038086;1.038086;
87914;-0.034180;0.038086;1.040039;
88134;-0.034180;0.038086;1.038086;
88354;-0.035156;0.038086;1.037109;
88573;-0.035156;0.039062;1.039062;
88790;-0.035156;0.037109;1.038086;
89009;-0.034180;0.039062;1.040039;
89219;-0.033203;0.039062;1.038086;
89443;-0.035156;0.038086;1.039062;
89659;-0.035156;0.038086;1.039062;
89879;-0.034180;0.039062;1.040039;
90104;-0.033203;0.040039;1.040039;
90324;-0.035156;0.039062;1.038086;
90533;-0.035156;0.038086;1.038086;
90749;-0.034180;0.039062;1.039062;
90959;-0.035156;0.038086;1.039062;
91169;-0.035156;0.039062;1.039062;
91381;-0.034180;0.039062;1.038086;
91609;-0.035156;0.039062;1.038086;
91829;-0.033203;0.041992;1.040039;
92039;-0.035156;0.039062;1.038086;
92263;-0.035156;0.038086;1.039062;
92473;-0.033203;0.039062;1.038086;
92689;-0.034180;0.039062;1.039062;
92899;-0.034180;0.039062;1.038086;
93114;-0.034180;0.038086;1.039062;
93334;-0.033203;0.037109;1.039062;
93554;-0.033203;0.039062;1.039062;
93769;-0.035156;0.038086;1.038086;
93993;-0.035156;0.037109;1.039062;
94213;-0.034180;0.039062;1.038086;
94429;-0.034180;0.039062;1.037109;
94654;-0.034180;0.039062;1.040039;
94874;-0.034180;0.039062;1.038086;
95099;-0.035156;0.039062;1.038086;
95309;-0.035156;0.038086;1.039062;
95529;-0.034180;0.038086;1.038086;
95751;-0.034180;0.037109;1.038086;
95969;-0.034180;0.041016;1.039062;
96189;-0.035156;0.039062;1.040039;
96409;-0.035156;0.038086;1.038086;
96619;-0.034180;0.038086;1.037109;
96839;-0.034180;0.039062;1.038086;
97059;-0.034180;0.039062;1.039062;
97290;-0.035156;0.038086;1.039062;
97523;-0.034180;0.040039;1.038086;
97743;-0.034180;0.038086;1.040039;
97963;-0.034180;0.038086;1.038086;
98183;-0.035156;0.039062;1.038086;
98462;-0.034180;0.039062;1.038086;
98683;-0.033203;0.039062;1.039062;
98889;-0.034180;0.037109;1.039062;
99119;-0.034180;0.039062;1.038086;
99330;-0.035156;0.037109;1.039062;
99539;-0.034180;0.040039;1.039062;
99749;-0.035156;0.040039;1.040039;
99974;-0.034180;0.039062;1.040039;
100189;-0.034180;0.036133;1.039062;
100399;-0.035156;0.037109;1.038086;
100609;-0.034180;0.038086;1.038086;
100829;-0.033203;0.040039;1.039062;
101049;-0.034180;0.041016;1.039062;
101259;-0.034180;0.038086;1.037109;
101469;-0.033203;0.038086;1.038086;
101689;-0.035156;0.039062;1.039062;
101899;-0.034180;0.038086;1.039062;
102119;-0.034180;0.039062;1.039062;
102339;-0.035156;0.038086;1.039062;
102553;-0.034180;0.038086;1.039062;
102759;-0.035156;0.037109;1.039062;
102983;-0.035156;0.037109;1.038086;
103203;-0.033203;0.039062;1.039062;
103419;-0.033203;0.040039;1.039062;
103634;-0.034180;0.037109;1.037109;
103854;-0.035156;0.038086;1.038086;
104073;-0.035156;0.039062;1.038086;
104284;-0.034180;0.039062;1.039062;
104503;-0.033203;0.040039;1.038086;
104719;-0.035156;0.037109;1.037109;
104933;-0.035156;0.038086;1.038086;
105143;-0.034180;0.040039;1.039062;
105359;-0.035156;0.037109;1.038086;
105560;-0.033203;0.038086;1.037109;
105779;-0.036133;0.038086;1.038086;
105999;-0.033203;0.037109;1.038086;
106219;-0.035156;0.040039;1.039062;
106431;-0.033203;0.038086;1.037109;
106639;-0.034180;0.040039;1.038086;
106863;-0.034180;0.039062;1.039062;
107089;-0.034180;0.039062;1.037109;
107299;-0.034180;0.040039;1.039062;
107509;-0.035156;0.037109;1.039062;
107720;-0.035156;0.039062;1.037109;
107929;-0.034180;0.039062;1.038086;
108149;-0.034180;0.037109;1.038086;
108379;-0.034180;0.039062;1.039062;
108583;-0.035156;0.037109;1.038086;
108799;-0.035156;0.039062;1.039062;
109023;-0.035156;0.041016;1.039062;
109233;-0.034180;0.039062;1.040039;
109449;-0.035156;0.037109;1.036133;
109669;-0.035156;0.036133;1.039062;
109894;-0.033203;0.040039;1.040039;
110109;-0.034180;0.039062;1.039062;
110320;-0.034180;0.039062;1.038086;
110534;-0.034180;0.038086;1.040039;
110753;-0.034180;0.039062;1.039062;
110959;-0.035156;0.039062;1.039062;
111179;-0.033203;0.040039;1.039062;
111393;-0.033203;0.039062;1.038086;
111609;-0.033203;0.040039;1.039062;
111839;-0.033203;0.038086;1.037109;
112059;-0.034180;0.037109;1.040039;
112269;-0.035156;0.039062;1.038086;
112479;-0.033203;0.038086;1.038086;
112690;-0.034180;0.038086;1.038086;
112899;-0.035156;0.039062;1.038086;
113119;-0.034180;0.038086;1.037109;
113340;-0.034180;0.038086;1.038086;
113554;-0.033203;0.039062;1.039062;
113774;-0.034180;0.039062;1.038086;
113990;-0.032227;0.039062;1.039062;
114203;-0.032227;0.040039;1.039062;
114414;-0.035156;0.038086;1.038086;
114634;-0.033203;0.040039;1.038086;
