Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];
419615;-21.333374;24.375000;0.152917;3.320000;100;

419748;-25.333374;24.375000;0.112500;3.320833;97;

419897;-21.333374;24.312500;0.072083;3.328334;101;

420033;-21.333374;24.375000;0.118333;3.325000;101;

420167;-17.333374;24.375000;0.119167;3.316667;102;

420313;-16.000000;24.375000;0.055417;3.311667;106;

420456;-16.000000;24.375000;3.317917;3.319167;108;

420597;-13.333374;24.312500;3.322500;3.321250;106;

420738;-16.000000;24.375000;0.076667;3.311667;111;

420886;-17.333374;24.375000;0.084167;3.322917;114;

421024;-22.666626;24.375000;0.112917;3.315833;119;

421165;-22.666626;24.375000;0.063750;3.311667;123;

421296;-29.333374;24.375000;0.098333;3.314584;129;

421436;-25.333374;24.375000;0.106667;3.311667;137;

421576;-34.666626;24.375000;0.047083;3.311667;141;

421716;-32.000000;24.312500;0.061667;3.312500;151;

421856;-37.333374;24.375000;0.092917;3.311250;164;

421996;-38.666626;24.312500;0.105000;3.311667;172;

422134;-48.000000;24.375000;0.063333;3.312083;182;

422276;-50.666626;24.312500;0.051667;3.312500;194;

422414;-50.666626;24.312500;0.063333;3.312083;205;

422556;-48.000000;24.312500;0.177917;3.154584;217;

422695;-36.000000;24.375000;0.710417;3.260834;226;

422839;-34.666626;24.312500;1.022083;3.296250;223;

422995;-21.333374;24.375000;0.800417;3.156667;212;

423152;1.333374;24.375000;0.845000;3.140417;204;

423296;44.000000;24.312500;0.926250;3.150417;197;

423442;82.666748;24.312500;0.960000;3.130000;185;

423590;117.333252;24.375000;0.983333;3.124583;177;

423725;142.666748;24.312500;1.036667;3.122500;168;

423867;148.000000;24.312500;1.062083;3.120417;162;

424016;172.000000;24.312500;1.027083;3.121667;152;

424156;181.333252;24.375000;1.070417;3.130834;144;

424296;130.666748;24.312500;1.060417;3.144167;134;

424434;105.333252;24.312500;1.033333;3.119167;126;

424576;65.333252;24.312500;0.993750;3.140417;118;

424714;28.000000;24.312500;0.829583;3.126250;106;

424856;8.000000;24.312500;0.746250;3.137500;98;

424994;-1.333374;24.312500;0.694583;3.124583;87;

425136;-1.333374;24.312500;1.030417;3.415417;87;

425286;-8.000000;24.312500;0.769583;3.179167;92;

425413;-16.000000;24.312500;0.617083;3.362500;93;

425554;-13.333374;24.312500;0.197083;3.141250;95;

425696;-16.000000;24.312500;0.107500;3.141667;94;

425835;-13.333374;24.312500;0.125417;3.140417;95;

425983;-13.333374;24.312500;0.057083;3.124583;95;

426117;-2.666626;24.312500;3.124583;3.125834;95;

426260;-16.000000;24.312500;0.023333;3.130000;95;

426389;-10.666626;24.312500;0.021667;3.130000;94;

426536;-18.666626;24.375000;0.136250;3.130000;94;

426686;-10.666626;24.312500;3.150833;3.130000;95;

426819;-8.000000;24.312500;0.072500;3.138750;93;

426957;-5.333374;24.312500;0.110833;3.150833;95;

427088;-4.000000;24.312500;0.043333;3.137917;96;

427236;-13.333374;24.312500;0.021250;3.130000;93;

427373;-4.000000;24.312500;0.022917;3.130000;93;

427518;0.000000;24.312500;0.021667;3.130000;93;

427664;-4.000000;24.312500;0.021667;3.130000;95;

427807;-16.000000;24.375000;0.021667;3.134583;95;

427945;-13.333374;24.312500;0.021667;3.134583;95;

428086;-22.666626;24.312500;0.021667;3.135417;95;

428225;-34.666626;24.312500;0.021667;3.135417;94;

428366;-36.000000;24.312500;0.021667;3.135417;96;

428508;-50.666626;24.312500;0.021250;3.135417;95;

428653;-49.333374;24.312500;0.021667;3.135417;96;

428796;-34.666626;24.312500;0.021667;3.135417;91;

428935;-25.333374;24.312500;0.021667;3.135417;94;

429077;-17.333374;24.312500;3.135000;3.135417;95;

429217;-2.666626;24.312500;0.021667;3.135417;94;

429346;12.000000;24.312500;0.021667;3.135417;97;

429485;21.333374;24.375000;0.021667;3.135417;96;

429630;25.333374;24.312500;0.021667;3.135417;92;

429778;32.000000;24.312500;0.021667;0.021667;95;

429932;34.666626;24.312500;0.021667;3.135417;95;

430081;18.666626;24.312500;0.021667;3.135417;96;

430216;10.666626;24.312500;0.021667;3.135417;94;

430355;4.000000;24.312500;0.021667;3.135417;93;
